;cep;logradouro;complemento;unidade;bairro;localidade;uf;estado;regiao;ibge;gia;ddd;siafi;erro
0;01001-000;Praça da Sé;lado ímpar;;Sé;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107;
1;01310-930;Avenida Paulista;2100;Banco Safra S.A;Bela Vista;São Paulo;SP;São Paulo;Sudeste;3550308;1004;11;7107;
2;20040-002;Avenida Rio Branco;de 128 a 144 - lado par;;Centro;Rio de Janeiro;RJ;Rio de Janeiro;Sudeste;3304557;;21;6001;
3;30140-071;Rua dos Aimorés;de 971/972 a 1399/1400;;Boa Viagem;Belo Horizonte;MG;Minas Gerais;Sudeste;3106200;;31;4123;
4;40010-000;Avenida da França;;;Comércio;Salvador;BA;Bahia;Nordeste;2927408;;71;3849;
5;61901-180;Rua 56;(Cj Jereissati II);;Jereissati II;Maracanaú;CE;Ceará;Nordeste;2307650;;85;1585;
6;;;;;;;;;;;;;;true
7;;;;;;;;;;;;;;true
8;88010-000;Rua Felipe Schmidt;até 348/349;;Centro;Florianópolis;SC;Santa Catarina;Sul;4205407;;48;8105;
9;99010-000;Avenida Brasil;até 879 - lado ímpar;;Centro;Passo Fundo;RS;Rio Grande do Sul;Sul;4314100;;54;8785;
10;19060-100;Rua Eufrásio Toledo;;;Jardim Marupiara;Presidente Prudente;SP;São Paulo;Sudeste;3541406;5629;18;6929;
11;;;;;;;;;;;;;;true
